_id,correlation
4120400,"{'CNAE_PRINCIPAL': 4120400, 'CNAE_SECUNDARIA': '4330404,4399199,4399103', 'count': 1}"
4120400,"{'CNAE_PRINCIPAL': 4120400, 'CNAE_SECUNDARIA': '4311802,4321500,4322301,4744099,5320202,8219999', 'count': 1}"
7020400,"{'CNAE_PRINCIPAL': 7020400, 'CNAE_SECUNDARIA': '6810202,6463800', 'count': 1}"
4330403,"{'CNAE_PRINCIPAL': 4330403, 'count': 1}"
4330403,"{'CNAE_PRINCIPAL': 4330403, 'CNAE_SECUNDARIA': '4321500,4322301,4330404,4744099', 'count': 1}"
4330403,"{'CNAE_PRINCIPAL': 4330403, 'CNAE_SECUNDARIA': 4330499, 'count': 1}"
4631100,"{'CNAE_PRINCIPAL': 4631100, 'count': 1}"
4520008,"{'CNAE_PRINCIPAL': 4520008, 'count': 1}"
7733100,"{'CNAE_PRINCIPAL': 7733100, 'CNAE_SECUNDARIA': '4783101,9511800,8230001,4781400,4757100,6190699,4321500,4785799,4763603,4751201', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '5611204,5611203', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '4723700,5611203,5611204,5620102,5620104,8230001', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '5620104,5611203', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': 5611204, 'count': 2}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '5611203,5611204', 'count': 2}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '4712100,4729699,5611204', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '5620104,5620101', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'count': 5}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '5611203,4712100,5611204,4729602', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '8230002,5611203,5611204', 'count': 1}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': 5611203, 'count': 2}"
5611201,"{'CNAE_PRINCIPAL': 5611201, 'CNAE_SECUNDARIA': '5620104,4723700,4721102,5611203,1091101,5611205', 'count': 1}"
4930202,"{'CNAE_PRINCIPAL': 4930202, 'CNAE_SECUNDARIA': '4930203,4930204,5120000', 'count': 1}"
4930202,"{'CNAE_PRINCIPAL': 4930202, 'count': 3}"
4930202,"{'CNAE_PRINCIPAL': 4930202, 'CNAE_SECUNDARIA': 4930201, 'count': 1}"
4930202,"{'CNAE_PRINCIPAL': 4930202, 'CNAE_SECUNDARIA': '4930204,4313400,7719599', 'count': 1}"
4930202,"{'CNAE_PRINCIPAL': 4930202, 'CNAE_SECUNDARIA': '5320202,5620104,4723700,4721104,4721102,4930201,3321000,5611203', 'count': 1}"
3314719,"{'CNAE_PRINCIPAL': 3314719, 'CNAE_SECUNDARIA': '3311200,2539001,3314702,3314720,3314701,3321000', 'count': 1}"
4763603,"{'CNAE_PRINCIPAL': 4763603, 'count': 2}"
4763603,"{'CNAE_PRINCIPAL': 4763603, 'CNAE_SECUNDARIA': '4541206,4757100,4530703', 'count': 1}"
1749400,"{'CNAE_PRINCIPAL': 1749400, 'CNAE_SECUNDARIA': '5620104,4789099,1091102', 'count': 1}"
9529102,"{'CNAE_PRINCIPAL': 9529102, 'count': 1}"
115600,"{'CNAE_PRINCIPAL': 115600, 'count': 1}"
220999,"{'CNAE_PRINCIPAL': 220999, 'CNAE_SECUNDARIA': '0210107,8299799,4671100,4744002,0230600,0210199,4789099', 'count': 1}"
